counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
60;1609243120479;1609243122899;UDP;download;524288;0.042126;18690;1717;27063120;4.667313108294166E9;0.457754;18690;1717;-1;4.72972295162904E8;4.72972295162904E8;9.18673087212413;9.0;0.1840234835455119;0;-1;false;;;;;
61;1609243133604;1609243135017;TCP;upload;3145728;0.776341;-1;-1;3302880;3.403535302141714E7;0.892595;-1;-1;2656040;2.3805107579585366E7;-1.0;0.0;0.0;-1.0;-1;0;false;2116976;270143;47214;145604;3.403535302141714E7
62;1609243146722;1609243149138;UDP;download;8388608;0.706579;59239;2150;85778072;9.359448497620224E8;0.977508;59239;2150;-1;7.020142812130438E8;7.020142812130438E8;3.629365789429261;3.0;0.08380665101925835;0;-1;false;;;;;
63;1609243160850;1609243162767;UDP;upload;9437184;1.247185;6518;0;9438064;7567493.194674407;-1.0;-1;-1;-1;-1.0;6.053994555739526E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
64;1609243173970;1609243177493;TCP;download;7340032;2.83961;-1;-1;8814472;2.483290874451069E7;2.788611;-1;-1;7372268;2.114964905467274E7;-1.0;0.0;0.0;-1.0;-1;0;false;383720;41258;35789;38192;2.483290874451069E7
65;1609243187549;1609243188660;UDP;upload;5242880;0.456517;3621;0;5243208;1.148524151345952E7;-1.0;-1;-1;-1;-1.0;9.188193210767616E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
66;1609243200662;1609243201169;TCP;upload;524288;0.003497;-1;-1;550410;1.2591592793823276E9;0.046025;-1;-1;14205;2469092.88430201;-1.0;0.0;0.0;-1.0;-1;0;false;14480;34122;34122;34122;1.2591592793823276E9
67;1609243213789;1609243214496;TCP;download;104858;0.295053;-1;-1;172920;4688513.589083995;0.237184;-1;-1;105304;3551807.8791149487;-1.0;0.0;0.0;-1.0;-1;0;false;18824;34123;34123;34123;4688513.589083995
68;1609243226918;1609243228632;TCP;upload;7340032;1.158458;-1;-1;7696344;5.3148885846530475E7;1.231497;-1;-1;7056464;4.58399102880478E7;-1.0;0.0;0.0;-1.0;-1;2;false;2502144;153736;39179;114333;5.3148885846530475E7
69;1609243240056;1609243240665;UDP;upload;1048576;0.026164;725;0;1049800;4.012383427610457E7;-1.0;-1;-1;-1;-1.0;3.2099067420883656E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
70;1609243253179;1609243255694;TCP;download;4194304;2.129772;-1;-1;5072688;1.9054388920504168E7;2.075564;-1;-1;4210784;1.6229936537731431E7;-1.0;0.0;0.0;-1.0;-1;0;false;224440;40399;35543;38190;1.9054388920504168E7
71;1609243266288;1609243267297;UDP;upload;4194304;0.386549;2897;0;4194856;1.0852067913770312E7;-1.0;-1;-1;-1;-1.0;8.68165433101625E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
72;1609243279431;1609243280646;UDP;download;104858;2.58E-4;14396;0;20845408;6.463692403100775E11;0.225604;14396;0;-1;7.39185759117746E8;7.39185759117746E8;0.0;0.0;0.01215767184423156;0;-1;false;;;;;
73;1609243292583;1609243296505;UDP;download;10485760;1.07237;137827;1084;199573496;1.4771309454759085E9;1.487038;137827;1084;-1;1.07366991832085E9;1.07366991832085E9;0.7864932125055323;0.0;0.033914431422408665;0;-1;false;;;;;
74;1609243306686;1609243308803;UDP;upload;9437184;1.325903;6518;0;9438064;7118216.03842815;-1.0;-1;-1;-1;-1.0;5.69457283074252E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
75;1609243319812;1609243321131;TCP;upload;3145728;0.691167;-1;-1;3302880;3.822960297583652E7;0.781411;-1;-1;2753608;2.8191136290633228E7;-1.0;0.0;0.0;-1.0;-1;1;false;2116976;185518;40407;101077;3.822960297583652E7
76;1609243332927;1609243333434;TCP;upload;104858;0.002796;-1;-1;110040;3.1484978540772533E8;0.048167;-1;-1;6316;1049016.9618203335;-1.0;0.0;0.0;-1.0;-1;0;false;14480;35922;35922;35922;3.1484978540772533E8
77;1609243346035;1609243347946;UDP;download;3145728;0.18986;31726;2239;45939248;1.7991014853049614E9;0.513045;31726;2239;-1;7.163386915377793E8;7.163386915377793E8;7.057303158292883;7.0;0.06405493761515806;0;-1;false;;;;;
78;1609243359140;1609243360954;TCP;upload;6291456;1.183983;-1;-1;6605970;4.463557331481955E7;1.270059;-1;-1;5986258;3.770696007035893E7;-1.0;0.0;0.0;-1.0;-1;1;false;2358792;208112;41073;131711;4.463557331481955E7
79;1609243372354;1609243373464;TCP;upload;2097152;0.459324;-1;-1;2201850;3.834940042323066E7;0.564748;-1;-1;1712018;2.4251779554774873E7;-1.0;0.0;0.0;-1.0;-1;0;false;1253968;98462;43539;65370;3.834940042323066E7
80;1609243385507;1609243386014;UDP;upload;104858;0.003257;73;0;105704;3.2454405894995395E7;-1.0;-1;-1;-1;-1.0;2.5963524715996316E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
81;1609243398672;1609243402792;TCP;download;6291456;3.678424;-1;-1;7795904;1.6954878502315123E7;3.631235;-1;-1;6291560;1.3860981181333622E7;-1.0;0.0;0.0;-1.0;-1;0;false;328696;106981;39535;62404;1.6954878502315123E7
82;1609243412886;1609243417715;UDP;download;4194304;0.915868;169638;2528;245635824;2.1136258063389046E9;1.609;169638;2528;-1;1.2213092554381604E9;1.2213092554381604E9;1.4902321413834165;1.0;0.018256315354431136;0;-1;false;;;;;
83;1609243427832;1609243428438;UDP;upload;1048576;0.024939;725;0;1049800;4.209471109507198E7;-1.0;-1;-1;-1;-1.0;3.3675768876057583E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
84;1609243440961;1609243442476;TCP;upload;5242880;0.933557;-1;-1;5504940;4.717389511299257E7;1.019973;-1;-1;4925428;3.863183045041388E7;-1.0;0.0;0.0;-1.0;-1;1;false;2284944;181191;44355;121252;4.717389511299257E7
85;1609243454091;1609243456509;TCP;download;2097152;1.71379;-1;-1;2522378;1.1774502126865018E7;1.660581;-1;-1;2098152;1.0108038090282857E7;-1.0;0.0;0.0;-1.0;-1;0;false;118736;38568;37919;38243;1.1774502126865018E7
86;1609243467298;1609243468810;UDP;upload;5242880;0.693857;3621;0;5243208;7556611.809061522;-1.0;-1;-1;-1;-1.0;6.045289447249217E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
87;1609243480405;1609243481714;UDP;upload;5242880;0.655734;3621;0;5243208;7995937.37704618;-1.0;-1;-1;-1;-1.0;6.396749901636944E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
88;1609243493506;1609243495118;TCP;download;524288;0.907386;-1;-1;681460;6008115.62003381;0.867901;-1;-1;524799;4837408.87497537;-1.0;0.0;0.0;-1.0;-1;0;false;40544;37865;37865;37865;6008115.62003381
89;1609243506613;1609243507830;UDP;upload;4194304;0.521952;2897;0;4194856;8036861.627122801;-1.0;-1;-1;-1;-1.0;6.42948930169824E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
90;1609243519780;1609243522298;TCP;download;3145728;2.039739;-1;-1;3863464;1.5152777879915029E7;1.995439;-1;-1;3150248;1.2629794245777495E7;-1.0;0.0;0.0;-1.0;-1;0;false;173760;41712;36049;39276;1.5152777879915029E7
91;1609243532902;1609243535223;UDP;upload;10485760;1.568035;7242;0;10486416;6687616.028978945;-1.0;-1;-1;-1;-1.0;5.350092823183156E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
92;1609243546046;1609243548361;UDP;download;10485760;0.618407;65618;2088;95014864;1.1900439678076088E9;0.943102;65618;2088;-1;8.059774149561765E8;8.059774149561765E8;3.1820537047761284;3.0;0.18540190329107673;0;-1;false;;;;;
93;1609243560152;1609243563879;UDP;upload;10485760;2.679123;7242;0;10486416;3914122.643865175;-1.0;-1;-1;-1;-1.0;3.13129811509214E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
94;1609243573962;1609243574670;TCP;upload;524288;0.0027;-1;-1;550410;1.6308444444444444E9;0.07094;-1;-1;14205;1601917.1130532844;-1.0;0.0;0.0;-1.0;-1;0;false;14480;32859;32859;32859;1.6308444444444444E9
95;1609243587078;1609243589395;UDP;upload;4194304;0.944755;2897;0;4194856;4440152.208773703;-1.0;-1;-1;-1;-1.0;3.552121767018963E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
96;1609243600194;1609243601002;TCP;download;104858;0.267747;-1;-1;172920;5166668.534101223;0.230091;-1;-1;104904;3647391.6841597455;-1.0;0.0;0.0;-1.0;-1;0;false;18824;34045;34045;34045;5166668.534101223
97;1609243613299;1609243614814;TCP;download;524288;1.022684;-1;-1;681460;5330757.105811766;0.971201;-1;-1;525349;4327417.290550566;-1.0;0.0;0.0;-1.0;-1;0;false;40544;38037;35733;36885;5330757.105811766
98;1609243626415;1609243627324;UDP;upload;3145728;0.168926;2173;0;3146504;1.862652285616187E7;-1.0;-1;-1;-1;-1.0;1.49012182849295E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
99;1609243639517;1609243641328;UDP;download;104858;2.42E-4;35632;0;51595136;1.7056243305785125E12;0.408525;35632;0;-1;1.0103692258735695E9;1.0103692258735695E9;0.0;0.0;0.013352845088169264;0;-1;false;;;;;
100;1609243652647;1609243654458;TCP;download;1048576;1.35986;-1;-1;1298938;7641598.399835276;1.310886;-1;-1;1052146;6420976.347294883;-1.0;0.0;0.0;-1.0;-1;0;false;66608;39115;37604;38359;7641598.399835276
101;1609243665803;1609243667014;UDP;upload;2097152;0.050023;1449;0;2098152;4.194374587689663E7;-1.0;-1;-1;-1;-1.0;3.35549967015173E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
102;1609243678911;1609243686255;TCP;download;9437184;6.813227;-1;-1;10253288;1.203927360705874E7;6.779334;-1;-1;9438064;1.1137452735032674E7;-1.0;0.0;0.0;-1.0;-1;10;false;175208;56464;35011;47269;1.203927360705874E7
103;1609243696341;1609243701473;TCP;download;10485760;4.597282;-1;-1;12585920;2.190149745001503E7;4.472632;-1;-1;10496552;1.8774720567218587E7;-1.0;0.0;0.0;-1.0;-1;0;false;529968;71958;42059;55165;2.190149745001503E7
104;1609243711526;1609243712441;TCP;upload;1048576;0.372859;-1;-1;1100820;2.361900879420907E7;0.449992;-1;-1;839290;1.4920976372913295E7;-1.0;0.0;0.0;-1.0;-1;0;false;428608;64566;48141;59278;2.361900879420907E7
