Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestamp;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
NR;LTE, NR;LTE, NR;0;71;0;53;0;-87;-9;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4678213;51.5097;149.89471676720407;1607602313999;5.102;1607602346712;UDP;download;104858;2.43E-4;38966;0;56422768;2.321924609053498E11;0.748112;38966;0;-1;6.033617212396005E8;6.033617212396005E8;0.0;0.0;0.011650536812862095;0;-1;49.124;127.479;201.18;62.165;25.0;true
NR;LTE, NR;LTE, NR;0;not available;0;18;0;-122;-17;-73;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693141;51.5099982;149.96166749803547;1607602328999;4.633;1607602361799;TCP;upload;6291456;3.627022;-1;-1;6432242;1.4187379067455338E7;4.314807;-1;-1;5601476;1.0385588046000667E7;-1.0;0.0;0.0;-1.0;-1;0;4213680;1333510;45274;739585;1.4187379067455338E7;121.379;563.156;1092.859;401.449;25.0;true
NR;LTE, NR;LTE, NR;0;not available;0;18;0;-122;-17;-73;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.471297;51.5110594;145.6304493226297;1607602341999;3.95;1607602374954;UDP;download;10485760;0.389551;44155;3667;63936440;1.5049794250303555E8;0.67893;44155;3667;-1;7.53378875583639E8;7.53378875583639E8;8.304835239497226;8.0;0.014229544246566627;0;-1;31.488;200.287;636.658;253.263;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;18;0;-122;-17;-73;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4726992;51.512192;142.4406371814716;1607602354999;3.966;1607602388059;UDP;download;7340032;0.108148;23552;1344;34103296;2.973442319784E8;0.391264;23552;1344;-1;6.972948392900957E8;6.972948392900957E8;5.706521739130435;5.0;0.014424262977228023;0;-1;30.311;62.988;124.855;37.126;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;18;0;-122;-17;-73;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4728865;51.5133373;140.3194728777939;1607602367999;4.0;1607602401182;TCP;download;7340032;2.542511;-1;-1;8949136;2.81584181936676E7;2.508348;-1;-1;7340912;2.341273858332257E7;-1.0;0.0;0.0;-1.0;-1;0;376480;35881;30928;33319;2.81584181936676E7;32.213;52.694;112.791;34.701;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4729468;51.5141397;138.71307095366743;1607602380999;3.96;1607602414350;UDP;upload;6291456;0.533729;4345;0;6291560;1.1787929829557696E7;-1.0;-1;-1;-1;-1.0;9.430343863646157E7;0.0;-1.0;-1.0;-1;-1;32.192;71.979;117.747;32.303;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.472968;51.515452;137.2023965145595;1607602393999;3.9;1607602427475;TCP;download;5242880;2.009609;-1;-1;6371980;2.5366048818451747E7;1.967238;-1;-1;5243358;2.1322719467598733E7;-1.0;0.0;0.0;-1.0;-1;0;276568;32632;32165;32392;2.5366048818451747E7;31.21;60.177;119.922;35.822;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4713484;51.5165911;135.73627084168174;1607602406999;3.9;1607602440613;UDP;download;1048576;0.026363;8904;600;12892992;4.5610105071501726E8;0.153994;8904;600;-1;6.697919139706743E8;6.697919139706743E8;6.73854447439353;6.0;0.02126918986619214;0;-1;30.084;55.638;128.49;42.069;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693542;51.5170914;134.60093146790504;1607602420999;3.74;1607602454037;UDP;upload;8388608;2.26975;5794;0;8389712;3696315.453243749;-1.0;-1;-1;-1;-1.0;2.9570523625949994E7;0.0;-1.0;-1.0;-1;-1;78.587;601.756;1095.42;428.664;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;38;0;-102;-5;-57;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693872;51.517085;134.4257488576451;1607602433999;4.304;1607602467181;UDP;upload;2097152;0.051907;1449;0;2098152;4.042136898684185E7;-1.0;-1;-1;-1;-1.0;3.233709518947348E8;0.0;-1.0;-1.0;-1;-1;29.551;660.844;1762.492;691.278;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;38;0;-102;-5;-59;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693872;51.517085;134.048098663991;1607602446999;4.374;1607602480295;UDP;download;6291456;0.300522;26966;1810;39046768;1.212087234877979E8;0.623742;26966;1810;-1;5.008066540332381E8;5.008066540332381E8;6.71215604835719;6.0;0.0163911528732746;0;-1;31.608;163.295;466.488;178.914;0.0;true
