counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
48;1608301764600;1608301766110;UDP;upload;8388608;0.943622;5794;0;8389712;8890966.933793405;-1.0;-1;-1;-1;-1.0;7.112773547034724E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
49;1608301777711;1608301778925;UDP;upload;5242880;0.558121;3621;116;5243208;9093440.311330339;-1.0;-1;-1;-1;-1.0;7.515514377706626E7;3.2035349351008007;-1.0;-1.0;-1;-1;false;;;;;
50;1608301790838;1608301792463;TCP;download;1048576;1.167608;-1;-1;1357150;9298668.73128653;1.131431;-1;-1;1053392;7448210.275306227;-1.0;0.0;0.0;-1.0;-1;0;false;68056;37043;33651;35347;9298668.73128653
51;1608301803976;1608301804484;TCP;upload;104858;0.005156;-1;-1;110040;1.7073700543056634E8;0.082117;-1;-1;10660;1038518.2118197207;-1.0;0.0;0.0;-1.0;-1;0;false;14480;26615;26615;26615;1.7073700543056634E8
0;1608302123512;1608302126425;UDP;upload;6291456;1.54695;4345;0;6291560;4067073.91964834;-1.0;-1;-1;-1;-1.0;3.253659135718672E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
1;1608302136614;1608302138528;UDP;download;3145728;0.173609;32025;2854;46372200;1.9464248051656306E9;0.518706;32025;2854;-1;7.15198204763392E8;7.15198204763392E8;8.911787665886026;8.0;0.12109764827213951;0;-1;false;;;;;
2;1608302149739;1608302154362;UDP;download;9437184;0.889069;115414;1008;167119472;1.4906369516876643E9;1.258863;115414;1008;-1;1.062034372286738E9;1.062034372286738E9;0.873377579843;0.0;0.13961874609079317;30;-1;false;;;;;
3;1608302164425;1608302168045;TCP;download;6291456;3.159344;-1;-1;7539254;1.9090682116287433E7;3.112129;-1;-1;6306040;1.6210227789400762E7;-1.0;0.0;0.0;-1.0;-1;0;false;327248;57674;38242;50653;1.9090682116287433E7
4;1608302178103;1608302178911;TCP;upload;1048576;0.263066;-1;-1;1100820;3.3476618035017826E7;0.373403;-1;-1;840738;1.801245303331789E7;-1.0;0.0;0.0;-1.0;-1;0;false;421368;49575;43887;46304;3.3476618035017826E7
5;1608302191266;1608302192076;UDP;upload;2097152;0.048598;1449;0;2098152;4.317362854438454E7;-1.0;-1;-1;-1;-1.0;3.453890283550763E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
6;1608302204383;1608302208010;TCP;upload;7340032;2.824021;-1;-1;7665280;2.1714512746187083E7;2.980286;-1;-1;6956032;1.8672119387199752E7;-1.0;0.0;0.0;-1.0;-1;3;false;2526760;567692;41700;367888;2.1714512746187083E7
7;1608302218066;1608302222504;TCP;download;10485760;3.876645;-1;-1;12913480;2.664877490716844E7;3.835029;-1;-1;10531304;2.19686557780919E7;-1.0;0.0;0.0;-1.0;-1;0;false;535760;60634;38579;45257;2.664877490716844E7
8;1608302232576;1608302236801;TCP;download;7340032;2.746121;-1;-1;8895560;2.591454637286558E7;2.710024;-1;-1;7351496;2.1701641018677328E7;-1.0;0.0;0.0;-1.0;-1;0;false;382272;51411;27459;37318;2.591454637286558E7
9;1608302246882;1608302247587;TCP;upload;524288;0.165982;-1;-1;550410;2.6528659734188046E7;0.313382;-1;-1;176381;4502645.333809855;-1.0;0.0;0.0;-1.0;-1;0;false;97016;47218;38014;42616;2.6528659734188046E7
10;1608302260000;1608302262016;UDP;download;2097152;0.13125;39030;2531;56515440;3.221366979047619E9;0.609769;39030;2531;-1;7.41466883360748E8;7.41466883360748E8;6.484755316423264;6.0;0.11191803444591965;0;-1;false;;;;;
11;1608302273085;1608302275903;TCP;download;6291456;2.343416;-1;-1;7607310;2.5969985696094934E7;2.305437;-1;-1;6293008;2.1837102466907576E7;-1.0;0.0;0.0;-1.0;-1;0;false;327248;38014;34124;35925;2.5969985696094934E7
12;1608302286221;1608302286729;UDP;upload;104858;0.003444;73;0;105704;3.0692218350754935E7;-1.0;-1;-1;-1;-1.0;2.4553774680603948E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
13;1608302299339;1608302300852;TCP;upload;10485760;1.122493;-1;-1;10874904;7.75053670713314E7;1.183326;-1;-1;10221648;6.910452740833886E7;-1.0;0.0;0.0;-1.0;-1;7;false;2633912;116168;36344;84882;7.75053670713314E7
14;1608302312447;1608302313960;TCP;download;1048576;1.072303;-1;-1;1304438;9731861.23698246;1.036191;-1;-1;1048700;8096576.789414306;-1.0;0.0;0.0;-1.0;-1;0;false;66608;31338;29379;30358;9731861.23698246
15;1608302325551;1608302325958;TCP;upload;104858;0.002267;-1;-1;110040;3.8831936479929423E8;0.057192;-1;-1;0;0.0;-1.0;0.0;0.0;-1.0;-1;0;false;14480;29337;29337;29337;3.8831936479929423E8
16;1608302338667;1608302339275;UDP;upload;524288;0.013906;363;0;525624;3.779836041996261E7;-1.0;-1;-1;-1;-1.0;3.0238688335970086E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
17;1608302351809;1608302354630;TCP;download;6291456;2.389371;-1;-1;7424862;2.4859637117885835E7;2.346746;-1;-1;6305641;2.1495776705276158E7;-1.0;0.0;0.0;-1.0;-1;4;false;228784;33400;28775;31001;2.4859637117885835E7
18;1608302365032;1608302366744;TCP;download;2097152;1.314446;-1;-1;2572204;1.5654984685563348E7;1.281058;-1;-1;2106439;1.315437084035227E7;-1.0;0.0;0.0;-1.0;-1;0;false;120184;29845;27490;28667;1.5654984685563348E7
19;1608302378192;1608302378902;UDP;download;4194304;0.066601;10826;1137;15676048;1.6852205822735395E9;0.163893;10826;1137;-1;7.651845045242932E8;7.651845045242932E8;10.50249399593571;10.0;8.251167405113504E-4;0;-1;false;;;;;
20;1608302391338;1608302393353;TCP;download;3145728;1.564674;-1;-1;3868360;1.9778484208212063E7;1.515443;-1;-1;3153544;1.6647509672089284E7;-1.0;0.0;0.0;-1.0;-1;0;false;175208;34692;28775;31733;1.977848420821206E7
21;1608302404474;1608302405180;UDP;download;3145728;0.084803;9410;1538;13625680;1.0753068641439571E9;0.193923;9410;1538;-1;5.621068155917555E8;5.621068155917555E8;16.344314558979807;16.0;0.01760168884613113;0;-1;false;;;;;
22;1608302417582;1608302419296;TCP;download;2097152;1.247253;-1;-1;2577736;1.6533845178163532E7;1.208561;-1;-1;2099600;1.3898181390926896E7;-1.0;0.0;0.0;-1.0;-1;0;false;118736;27735;27337;27536;1.6533845178163532E7
23;1608302430819;1608302434842;UDP;upload;7340032;3.226759;5070;0;7341360;2275149.7710241145;-1.0;-1;-1;-1;-1.0;1.8201198168192916E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
24;1608302444966;1608302446274;UDP;download;8388608;0.281879;26484;1461;38348832;1.0283363854703615E9;0.421187;26484;1461;-1;7.28395358831113E8;7.28395358831113E8;5.516538287267784;5.0;0.02175870971398643;0;-1;false;;;;;
25;1608302458068;1608302459780;TCP;download;2097152;1.289689;-1;-1;2570756;1.5946517338676222E7;1.24904;-1;-1;2101397;1.3459277525139308E7;-1.0;0.0;0.0;-1.0;-1;0;false;118736;32385;28563;30474;1.5946517338676222E7
26;1608302471310;1608302472926;UDP;upload;4194304;0.328566;2897;0;4194856;1.276716397923096E7;-1.0;-1;-1;-1;-1.0;1.0213731183384769E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
27;1608302484445;1608302488272;UDP;upload;9437184;2.696646;6518;0;9438064;3499926.946288093;-1.0;-1;-1;-1;-1.0;2.7999415570304744E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
28;1608302498348;1608302499457;UDP;download;3145728;0.096365;10554;1512;15282192;1.0869353811030974E9;0.228775;10554;1512;-1;5.34400769314829E8;5.34400769314829E8;14.326321773735076;14.0;0.01874933530112495;0;-1;false;;;;;
29;1608302511466;1608302513683;TCP;download;3145728;1.714592;-1;-1;3842848;1.793008715776115E7;1.677102;-1;-1;3157888;1.5063546522513239E7;-1.0;0.0;0.0;-1.0;-1;0;false;170864;35964;31898;33931;1.7930087157761145E7
30;1608302524613;1608302534619;TCP;upload;10485760;107.207159;-1;-1;10698144;798315.642335042;107.307967;-1;-1;10273776;765928.293096821;-1.0;0.0;0.0;-1.0;-1;1292;true;4658216;31765529;43266;-34277;798315.642335042
31;1608302643212;1608302645737;TCP;download;3145728;1.896807;-1;-1;3913800;1.6506898171506116E7;1.843783;-1;-1;3157888;1.3701777269884797E7;-1.0;0.0;0.0;-1.0;-1;0;false;172312;38778;30156;34467;1.6506898171506116E7
32;1608302656364;1608302658786;TCP;upload;10485760;1.858649;-1;-1;10708164;4.6090096623945676E7;1.94797;-1;-1;9801508;4.0253219505433865E7;-1.0;0.0;0.0;-1.0;-1;3;false;2719344;218111;37837;166358;4.6090096623945676E7
33;1608302669444;1608302670661;TCP;upload;3145728;0.605995;-1;-1;3302880;4.3602735996171586E7;0.682504;-1;-1;2738576;3.2100336408284787E7;-1.0;0.0;0.0;-1.0;-1;0;false;2116976;172886;43517;99717;4.3602735996171586E7
